% SenecaTraining log file generated with citation-logger with CVS tag $Id: CitationLogger.cxx,v 1.1.1.1 2022/02/17 15:04:28 matteopiras Exp $
% eventID at start: 70; loaded inco file: EHRD_lg.inco
% Notes: 
% run started on Fri Apr  8 16:28:07 2022
% 
time	Y_p	Y_q	Y_r	Y_vtas	Y_alpha	Y_beta	Y_phi	Y_theta	Y_psi	Y_h	Y_x	Y_y	Y_pdot	Y_qdot	Y_rdot	Y_vtasdot	Y_hdot	Y_ralt	Y_m	Y_uwinde	Y_vwinde	Y_wwinde	Y_fxcg	Y_fycg	Y_fzcg	Y_n	Y_gamma	Y_chi	Y_vground	Y_torqueleft	Y_rpmleft	Y_rpmleft_IGNORE	Y_torqueright	Y_rpmright	Y_rpmright_IGNORE	Y_flaps_IGNORE	Y_gear_IGNORE	Y_de0	Y_da0	Y_dr0	Y_dte0	Y_dta0	Y_dtr0	Y_df0	Y_gear0	Y_pla10	Y_pla20	APstate	curVerticalState	curLateralState	theta_erf	phi_ref	ap_de	ap_da	ap_dr	target_alt	target_speed	hdg_bug	target_vs	alt_hold	active_nav_source	course	altitude_target_vnav	active_leg	needle_deviation	dme	brg	nav_R	Button_Press	alt_select_GUI	hdg_select_GUI	crs_select_GUI	turbulence	wind_shear	turb_int	wind_vel	wind_dir	GPS_failure	VOR_failure	ADC_failure	PFD_failure	GMU_failure	HSI_failure	AFCS_pit	AFCS_rol	clogged_sp	clogged_pt	
0	2.13683e-05	-0.00820805	-0.00110311	64.0659	0.0178798	-0.000121867	-0.00729059	0.0139054	4.50147	457.302	6199.6	19998.1	4.80458e-05	-0.260562	0.000329622	-0.916422	-0.254652	457.302	0.189255	0	0	0	-0.756249	0.00078864	-11.1458	1.13655	-0.00397485	-1.78171	64.0659	0	807.508	807.508	0	807.508	807.508	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-6.55987e-06	2.79402	254.996	5174.53	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.04	2.36223e-05	-0.0162848	-0.00109022	64.0291	0.0166143	-0.000122216	-0.00729024	0.0134024	4.50143	457.293	6199.06	19995.6	6.52798e-05	-0.158635	0.000314619	-0.922103	-0.205682	457.293	0.189147	0	0	0	-0.771957	0.000794069	-10.9401	1.11558	-0.00321233	-1.78176	64.0291	0	818.427	818.427	0	818.427	818.427	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-3.00651e-05	2.79264	254.995	5171.97	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.08	2.66276e-05	-0.0210367	-0.00107798	63.9922	0.0152244	-0.000123085	-0.00728973	0.0126466	4.50139	457.285	6198.52	19993.1	8.53031e-05	-0.0872095	0.000297259	-0.923683	-0.164991	457.285	0.189038	0	0	0	-0.785678	0.000804342	-10.7319	1.09435	-0.0025783	-1.78181	63.9922	0	829.347	829.347	0	829.347	829.347	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-6.96987e-05	2.79126	254.993	5169.41	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.12	3.04628e-05	-0.0234764	-0.00106647	63.9553	0.0138203	-0.000124444	-0.00728904	0.0117497	4.50135	457.279	6197.99	19990.6	0.000106564	-0.0382397	0.000277937	-0.922494	-0.132463	457.279	0.188928	0	0	0	-0.797341	0.000819097	-10.5312	1.07388	-0.00207118	-1.78186	63.9553	0	840.268	840.268	0	840.268	840.268	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000124601	2.78988	254.992	5166.86	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.16	3.51549e-05	-0.0243493	-0.00105576	63.9184	0.0124724	-0.000126256	-0.00728813	0.0107886	4.50132	457.274	6197.45	19988.1	0.000128003	-0.00569986	0.000257002	-0.919482	-0.107664	457.274	0.18882	0	0	0	-0.80705	0.000837953	-10.3442	1.05481	-0.00168439	-1.7819	63.9184	0	851.188	851.188	0	851.188	851.188	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000193988	2.7885	254.99	5164.3	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.2	4.06958e-05	-0.0241984	-0.00104592	63.8817	0.0112224	-0.000128486	-0.00728697	0.00981456	4.50128	457.271	6196.92	19985.6	0.000148902	0.0149699	0.000234764	-0.915314	-0.0899761	457.271	0.188711	0	0	0	-0.815003	0.000860508	-10.174	1.03746	-0.00140848	-1.78195	63.8817	0	862.107	862.107	0	862.107	862.107	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000277146	2.78712	254.989	5161.75	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.24	4.70533e-05	-0.0234135	-0.001037	63.8452	0.0100923	-0.000131094	-0.00728554	0.00886032	4.50125	457.267	6196.38	19983.1	0.000168772	0.0271953	0.000211508	-0.910454	-0.0786979	457.267	0.188603	0	0	0	-0.821441	0.000886348	-10.022	1.02196	-0.00123264	-1.78199	63.8452	0	873.028	873.028	0	873.028	873.028	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000373399	2.78574	254.988	5159.2	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.28	5.41793e-05	-0.0222697	-0.00102901	63.8089	0.00909034	-0.000134039	-0.00728381	0.0079454	4.50121	457.264	6195.85	19980.6	0.000187277	0.0335285	0.000187497	-0.905224	-0.0731044	457.264	0.188496	0	0	0	-0.826609	0.00091505	-9.88801	1.0083	-0.00114568	-1.78204	63.8089	0	883.948	883.948	0	883.948	883.948	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000482035	2.78437	254.986	5156.65	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.32	6.20143e-05	-0.0209574	-0.001022	63.7728	0.00821605	-0.000137279	-0.00728175	0.00708012	4.50118	457.261	6195.31	19978.1	0.000204187	0.0358525	0.000162978	-0.899845	-0.072491	457.261	0.188389	0	0	0	-0.83074	0.000946184	-9.77124	0.996389	-0.00113671	-1.78208	63.7728	0	894.867	894.867	0	894.867	894.867	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.000602427	2.78299	254.985	5154.1	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
0.36	7.04908e-05	-0.0196043	-0.00101598	63.7369	0.00746319	-0.000140771	-0.00727934	0.0062685	4.50114	457.258	6194.78	19975.6	0.000219337	0.0355392	0.000138185	-0.894453	-0.076198	457.258	0.188283	0	0	0	-0.834029	0.000979321	-9.67033	0.986099	-0.00119551	-1.78213	63.7369	0	905.787	905.787	0	905.787	905.787	0	0	0.0412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.997	0	0	-0.00073403	2.78162	254.983	5151.55	13	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	
